"NTEE","NTEE2","level1","level2","level3","level4","level5","level1.label","level2.label","level3.label","level4.label","level5.label","keywords"
"A53","ART-A53-RG","ART","Axx","A5x","A53","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Museums","Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans.","Regular Nonprofit",""
"A54","ART-A54-RG","ART","Axx","A5x","A54","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Museums","Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.","Regular Nonprofit","Local Art & History Museums, Historic House Museums, Historical Society Museum, Colonial Farm Museums, Costume Museums, Interpretive Farm Museums, History Museums, Living History Museums, Military Museums, War Museums"
"A56","ART-A56-RG","ART","Axx","A5x","A56","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Museums","Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology.","Regular Nonprofit","Anthropology Museums, Entomology Museums, Ethnology Museums, Geology Museums, Herbarium Museums, Herpetology Museums, Mineralogy Museums, Natural History Museums, Natural Science Museums, Ornithology Museums"
"A57","ART-A57-RG","ART","Axx","A5x","A57","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Museums","Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.","Regular Nonprofit","Agriculture Museums, Aeronautical Museums, Aeronautics and Space Museums, Aerospace Museums, Air and Space Museums, Astronomy Museums, Communications Museums, Industrial Museums, Medical Science Museums, Mining Museums, Pharmacology Museums, Science Museums, Space Museums, Technology Museums"
"A60","ART-A60-RG","ART","Axx","A6x","A60","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Regular Nonprofit","Circus Arts, Experimental Companies, Multimedia Companies, Performing Arts, Performing Arts Series"
"A61","ART-A61-RG","ART","Axx","A6x","A61","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations that operate facilities including theaters for the performing arts.","Regular Nonprofit","Performing arts theater facilities, Theater facilities, Performing arts presenters"
"A62","ART-A62-RG","ART","Axx","A6x","A62","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.","Regular Nonprofit","African Dance, Choreography, Contra Dance, Country and Western Dance, Dance Companies, Dance Festivals, Dance Groups, Ethnic Dance, Flamenco Ballet, Flamenco Dancing, Folk Dance, Interpretive Dance, Irish Dance, Israeli Dance, Jazz Dance, Line Dance, Modern Dance, Polka, Square Dance, Tap Dance, Traditional Dance"
"A63","ART-A63-RG","ART","Axx","A6x","A63","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Dance organizations that create and/or perform primarily ballet.","Regular Nonprofit","Ballet Companies, Ballet Troupes"
"A65","ART-A65-RG","ART","Axx","A6x","A65","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)","Regular Nonprofit","Acting Companies, Amateur Theaters, Broadway Shows, Burlesque, Childrens Theaters, Childrens Performances, Childrens Plays, Childrens Theater, Comedies, Community Theaters, Community Theatrical Groups, Drama, Dramatic Arts, Dramatic Productions, Marionette Shows, Mimes, Musical Plays, Musical Theater, Musicals, Plays, Playwriting, Puppet Shows, Shakespeare Festivals, Shakespearean Festivals, Stage Plays, Storytelling, Summer Stock, Theater Companies, Theater Festivals, Theater Performances, Theater Troupes, Tragedies, Traveling Theaters"
"A68","ART-A68-RG","ART","Axx","A6x","A68","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations whose primary activity is the production of musical events, including concert series and music festivals.","Regular Nonprofit","Concert Series, Music Competitions, Music Composition, Music Festivals, Musical Events"
"A69","ART-A69-RG","ART","Axx","A6x","A69","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations whose primary activity is the operation of a symphony <p> orchestra including youth symphonies.","Regular Nonprofit",""
"A6A","ART-A6A-RG","ART","Axx","A6x","A6A","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations whose primary activity is the production of operas.","Regular Nonprofit","Comic Operas, Light Operas, Opera Companies, Operettas"
"A6B","ART-A6B-RG","ART","Axx","A6x","A6B","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles.","Regular Nonprofit","Barbershop Quartets, Boys Choirs, Childrens Choirs, Choirs, Choral Groups, Choruses, Church Music, Glee Clubs, Gospel Music, Religious Music, Sacred Music, Singing Ensembles, Singing Groups, Singing Societies, Sweet Adelines"
"A6C","ART-A6C-RG","ART","Axx","A6x","A6C","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues.","Regular Nonprofit","Bands, Brass Bands, Blues, Chamber Music, Community Bands, Country Music, Ethnic Music, Folk Music, Improvisational Music, Jazz Groups, Jazz Music, Marching Bands, Musical Groups, Rhythm and Blues, Rock Music, Youth Bands"
"A6E","ART-A6E-RG","ART","Axx","A6x","A6E","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations that offer classes in the performing arts but do not confer academic degrees.","Regular Nonprofit","Dance Schools (non-degree), Drama Schools (non-degree), Performing Arts Schools (non-degree), Theater Schools (non-degree)"
"A70","ART-A70-RG","ART","Axx","A7x","A70","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Humanities","Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).","Regular Nonprofit","Art History, Book Clubs, Book Discussion Groups, Book Fairs, Book Readings, Book Review Groups, Book Signings, Chinese Languages, Classical Languages, Comparative Religion, Creative Writing, English Language, Ethics, Fictionwriting, Foreign Language Schools, French Language Schools, German Language Institutes, Holocaust Studies, Humanities, Japanese Language, Language and Linguistics, Literary Activities, Literary Services, Literature, Philosophy, Poetry Readings, Poetry Writing, Reading Clubs, Russian Language, Social Sciences, Spanish Language, Theology"
"A80","ART-A80-RG","ART","Axx","A8x","A80","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Historical Organizations","Organizations that promote awareness of and appreciation for history and historical artifacts. Use this code for organizations that are not specified below.","Regular Nonprofit","Ancestry, Family Histories, Family Name Societies, Genealogical Societies, Genealogy, Holocaust Memorials, Material Culture Conservation, Memorials, Monuments, Patriotic Societies, Presidential Birthplaces, Veterans Memorials, War Memorials"
"A82","ART-A82-RG","ART","Axx","A8x","A82","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Historical Organizations","Organizations that interpret, collect and preserve the historical heritage of a specific geographic location.","Regular Nonprofit","Historical Markers, Historic District Preservation, Historic Home Preservation, Historic House Designation, Historic Preservation, Historic Properties Preservation, Historic Preservation of Churches, Historic Site Designation, Historic Site Preservation, Historical Associations, Historical Burial Site Preservation, Historical Preservation, Historical Societies, Oral History"
"A84","ART-A84-RG","ART","Axx","A8x","A84","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Historical Organizations","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.","Regular Nonprofit","Bicentennials, Centennials, Civil War Reenactments, Columbus Day, Dedication Ceremonies, Heritage Days, Historical Reenactments, Independence Day, July 4th, Memorial Celebrations, Revolutionary War Reenactments, Veterans Day"
"A90","ART-A90-RG","ART","Axx","A9x","A90","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Arts Services","Organizations that provide services such as facilities or touring assistance for arts organizations.","Regular Nonprofit","Art Facilities, Artisans Services, Artist Registries, Artists Services, Arts Services, Equipment Access and Services for Artists, Legal Services for Artists, Slide Registries, Touring Assistance, Travel Grants for Artists"
"A99","ART-A99-RG","ART","Axx","A9x","A99","RG","Arts, Culture & Humanities","Arts, Culture & Humanities","Arts Services","Organizations that provide arts and humanities services or products not covered by other categories.","Regular Nonprofit","Arts and Sciences"
"B01","EDU-B00-AA","EDU","Bxx","B0x","B00","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Alliance/Advocacy Organization for a nonprofit in education.","Alliance/Advocacy Organization","Academic Freedom, Curriculum Reform, Education Advocacy, Education Alliances, Education Coalitions, Education Reform, Educational Intermediaries, Educational Reform, First Steps Educational Initiatives, LEFs, Lobbying, Local Education Foundations, Local Education Funds, Multiculturalism in Education, Public Awareness, School Accountability, School Busing, School Choice, School Funding Advocacy, School Reform, School Safety Advocacy, Smart Start Initiatives"
"B0120","EDU-B20-AA","EDU","Bxx","B2x","B20","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.","Alliance/Advocacy Organization",NA
"B0121","EDU-B21-AA","EDU","Bxx","B2x","B21","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.","Alliance/Advocacy Organization",NA
"B0124","EDU-B24-AA","EDU","Bxx","B2x","B24","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.","Alliance/Advocacy Organization",NA
"B0125","EDU-B25-AA","EDU","Bxx","B2x","B25","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.","Alliance/Advocacy Organization",NA
"B0129","EDU-B29-AA","EDU","Bxx","B2x","B29","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Schools run independently of the traditional public school system but receiving public funding and operating by a charter. This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success.","Alliance/Advocacy Organization",NA
"B0130","EDU-B30-AA","EDU","Bxx","B3x","B30","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.","Alliance/Advocacy Organization",NA
"B0140","EDU-B40-AA","EDU","Bxx","B4x","B40","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.","Alliance/Advocacy Organization",NA
"B0143","EDU-B43-AA","EDU","Bxx","B4x","B43","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.","Alliance/Advocacy Organization",NA
"B0160","EDU-B60-AA","EDU","Bxx","B6x","B60","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest.","Alliance/Advocacy Organization",NA
"B0170","EDU-B70-AA","EDU","Bxx","B7x","B70","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.","Alliance/Advocacy Organization",NA
"B0180","EDU-B80-AA","EDU","Bxx","B8x","B80","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.","Alliance/Advocacy Organization",NA
"B0182","EDU-B82-AA","EDU","Bxx","B8x","B82","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Organizations that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school.","Alliance/Advocacy Organization",NA
"B0190","EDU-B90-AA","EDU","Bxx","B9x","B90","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life. Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.","Alliance/Advocacy Organization",NA
"B0192","EDU-B92-AA","EDU","Bxx","B9x","B92","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Organizations that provide diagnostic testing and/or individual or group instruction for people who are having reading difficulties. Instruction focuses on phonics, dictionary skills, vocabulary development, spelling and study skills, comprehension and memory skills.","Alliance/Advocacy Organization",NA
"B0194","EDU-B94-AA","EDU","Bxx","B9x","B94","AA","Education","Education","Alliance/Advocacy Organization for a nonprofit in education.","Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children.","Alliance/Advocacy Organization",NA
"B02","EDU-B00-MT","EDU","Bxx","B0x","B00","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Organization providing management and technical assistance for a nonprofit in education.","Management and Technical Assistance","Educational Administration, Professional Continuing Education"
"B0220","EDU-B20-MT","EDU","Bxx","B2x","B20","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.","Management and Technical Assistance",NA
"B0230","EDU-B30-MT","EDU","Bxx","B3x","B30","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.","Management and Technical Assistance",NA
"B0240","EDU-B40-MT","EDU","Bxx","B4x","B40","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.","Management and Technical Assistance",NA
"B0242","EDU-B42-MT","EDU","Bxx","B4x","B42","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.","Management and Technical Assistance",NA
"B0243","EDU-B43-MT","EDU","Bxx","B4x","B43","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.","Management and Technical Assistance",NA
"B0250","EDU-B50-MT","EDU","Bxx","B5x","B50","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.","Management and Technical Assistance",NA
"B0270","EDU-B70-MT","EDU","Bxx","B7x","B70","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.","Management and Technical Assistance",NA
"B0280","EDU-B80-MT","EDU","Bxx","B8x","B80","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.","Management and Technical Assistance",NA
"B0282","EDU-B82-MT","EDU","Bxx","B8x","B82","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Organizations that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school.","Management and Technical Assistance",NA
"B0290","EDU-B90-MT","EDU","Bxx","B9x","B90","MT","Education","Education","Organization providing management and technical assistance for a nonprofit in education.","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life. Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.","Management and Technical Assistance",NA
"B03","EDU-B00-PA","EDU","Bxx","B0x","B00","PA","Education","Education","Professional Society/Association in education.","Professional Society/Association in education.","Professional Society/Association","Associations of Colleges, Educational Associations, Educational Professional Associations, Educational Professional Societies, Teacher Associations"
"B0320","EDU-B20-PA","EDU","Bxx","B2x","B20","PA","Education","Education","Professional Society/Association in education.","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.","Professional Society/Association",NA
"B0321","EDU-B21-PA","EDU","Bxx","B2x","B21","PA","Education","Education","Professional Society/Association in education.","Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.","Professional Society/Association",NA
"B0324","EDU-B24-PA","EDU","Bxx","B2x","B24","PA","Education","Education","Professional Society/Association in education.","Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.","Professional Society/Association",NA
"B0325","EDU-B25-PA","EDU","Bxx","B2x","B25","PA","Education","Education","Professional Society/Association in education.","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.","Professional Society/Association",NA
"B0330","EDU-B30-PA","EDU","Bxx","B3x","B30","PA","Education","Education","Professional Society/Association in education.","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.","Professional Society/Association",NA
"B0340","EDU-B40-PA","EDU","Bxx","B4x","B40","PA","Education","Education","Professional Society/Association in education.","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.","Professional Society/Association",NA
"B0341","EDU-B41-PA","EDU","Bxx","B4x","B41","PA","Education","Education","Professional Society/Association in education.","Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate.","Professional Society/Association",NA
"B0342","EDU-B42-PA","EDU","Bxx","B4x","B42","PA","Education","Education","Professional Society/Association in education.","Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.","Professional Society/Association",NA
"B0343","EDU-B43-PA","EDU","Bxx","B4x","B43","PA","Education","Education","Professional Society/Association in education.","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.","Professional Society/Association",NA
"B0350","EDU-B50-PA","EDU","Bxx","B5x","B50","PA","Education","Education","Professional Society/Association in education.","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.","Professional Society/Association",NA
"B0360","EDU-B60-PA","EDU","Bxx","B6x","B60","PA","Education","Education","Professional Society/Association in education.","Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest.","Professional Society/Association",NA
"B0370","EDU-B70-PA","EDU","Bxx","B7x","B70","PA","Education","Education","Professional Society/Association in education.","Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.","Professional Society/Association",NA
"B0380","EDU-B80-PA","EDU","Bxx","B8x","B80","PA","Education","Education","Professional Society/Association in education.","Organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.","Professional Society/Association",NA
"B0382","EDU-B82-PA","EDU","Bxx","B8x","B82","PA","Education","Education","Professional Society/Association in education.","Organizations that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school.","Professional Society/Association",NA
"B0384","EDU-B84-PA","EDU","Bxx","B8x","B84","PA","Education","Education","Professional Society/Association in education.","Organizations whose members are graduates of a particular educational institution who provide support for the institution in the form of financial contributions, student recruitment efforts, promotional activities, fund-raising events and continued ties with the academic program.","Professional Society/Association",NA
"B0390","EDU-B90-PA","EDU","Bxx","B9x","B90","PA","Education","Education","Professional Society/Association in education.","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life. Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.","Professional Society/Association",NA
"B0394","EDU-B94-PA","EDU","Bxx","B9x","B94","PA","Education","Education","Professional Society/Association in education.","Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children.","Professional Society/Association",NA
"B05","EDU-B00-RP","EDU","Bxx","B0x","B00","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Research Institute and/or Public Policy Analysis in education.","Research Institute and/or Public Policy Analysis",""
"B0520","EDU-B20-RP","EDU","Bxx","B2x","B20","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.","Research Institute and/or Public Policy Analysis",NA
"B0525","EDU-B25-RP","EDU","Bxx","B2x","B25","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.","Research Institute and/or Public Policy Analysis",NA
"B0530","EDU-B30-RP","EDU","Bxx","B3x","B30","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.","Research Institute and/or Public Policy Analysis",NA
"B0540","EDU-B40-RP","EDU","Bxx","B4x","B40","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.","Research Institute and/or Public Policy Analysis",NA
"B0550","EDU-B50-RP","EDU","Bxx","B5x","B50","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.","Research Institute and/or Public Policy Analysis",NA
"B0582","EDU-B82-RP","EDU","Bxx","B8x","B82","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Organizations that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school.","Research Institute and/or Public Policy Analysis",NA
"B0590","EDU-B90-RP","EDU","Bxx","B9x","B90","RP","Education","Education","Research Institute and/or Public Policy Analysis in education.","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life. Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.","Research Institute and/or Public Policy Analysis",NA
"B11","EDU-B00-MS","EDU","Bxx","B0x","B00","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Providing monetary support to a sinlge organization in education.","Monetary Support - Single Organization","Library Friends Groups, School Athletic Booster Clubs, School Booster Clubs"
"B1120","EDU-B20-MS","EDU","Bxx","B2x","B20","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.","Monetary Support - Single Organization",NA
"B1121","EDU-B21-MS","EDU","Bxx","B2x","B21","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.","Monetary Support - Single Organization",NA
"B1124","EDU-B24-MS","EDU","Bxx","B2x","B24","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.","Monetary Support - Single Organization",NA
"B1125","EDU-B25-MS","EDU","Bxx","B2x","B25","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.","Monetary Support - Single Organization",NA
"B1128","EDU-B28-MS","EDU","Bxx","B2x","B28","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Organizations that provide educational services including special placement and individualized programming, instruction and support services for children and youth who are gifted or have disabilities and require appropriately modified curricula, teaching methodologies and instructional materials in order to learn.","Monetary Support - Single Organization",NA
"B1129","EDU-B29-MS","EDU","Bxx","B2x","B29","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Schools run independently of the traditional public school system but receiving public funding and operating by a charter. This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success.","Monetary Support - Single Organization",NA
"B1130","EDU-B30-MS","EDU","Bxx","B3x","B30","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.","Monetary Support - Single Organization",NA
"B1140","EDU-B40-MS","EDU","Bxx","B4x","B40","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.","Monetary Support - Single Organization",NA
"B1141","EDU-B41-MS","EDU","Bxx","B4x","B41","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate.","Monetary Support - Single Organization",NA
"B1142","EDU-B42-MS","EDU","Bxx","B4x","B42","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.","Monetary Support - Single Organization",NA
"B1143","EDU-B43-MS","EDU","Bxx","B4x","B43","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.","Monetary Support - Single Organization",NA
"B1150","EDU-B50-MS","EDU","Bxx","B5x","B50","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.","Monetary Support - Single Organization",NA
"B1160","EDU-B60-MS","EDU","Bxx","B6x","B60","MS","Education","Education","Providing monetary support to a sinlge organization in education.","Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest.","Monetary Support - Single Organization",NA
